day,hour,value
1,1,10.517084902
1,2,9.61868281804
1,3,9.03321796516
1,4,8.50690935617
1,5,10.0036113836
1,6,12.2710525913
1,7,11.4684097784
1,8,11.59983119
1,9,11.8407947326
1,10,11.6864094778
1,11,10.8968709334
1,12,10.4424844998
1,13,10.198103621
1,14,10.1326549069
1,15,10.0451461729
1,16,10.1623149001
1,17,10.8220595806
1,18,11.0561424252
1,19,11.6067431552
1,20,11.9969780465
1,21,12.3178723995
1,22,12.5169262404
1,23,12.1489157493
1,24,11.9076016903
2,1,11.1415452997
2,2,10.39096602
2,3,9.7616422328
2,4,9.0221860269
2,5,9.70505756363
2,6,11.7444775097
2,7,11.2929089959
2,8,11.6103489118
2,9,11.9642325789
2,10,11.8250928369
2,11,11.0726666495
2,12,10.6307609607
2,13,10.533316492
2,14,10.4345593252
2,15,10.4174998141
2,16,10.4397963055
2,17,11.144754302
2,18,11.2778773957
2,19,11.7925071766
2,20,12.3449368542
2,21,12.5420649774
2,22,12.6410404072
2,23,12.57834883
2,24,12.1862380199
3,1,11.6709546879
3,2,10.9256894503
3,3,10.1352688154
3,4,9.41413330523
3,5,9.98059275797
3,6,12.1353428923
3,7,11.5350086704
3,8,11.7901924075
3,9,12.2095519472
3,10,12.0393736362
3,11,11.2913531539
3,12,10.8784383436
3,13,10.7206745887
3,14,10.6218303967
3,15,10.7379231308
3,16,10.754457258
3,17,11.3212930895
3,18,11.3772419061
3,19,11.8640435686
3,20,12.3062707738
3,21,12.5208667085
3,22,12.6721047276
3,23,12.5629213503
3,24,12.2835558543
4,1,11.7715310345
4,2,11.1334257826
4,3,10.3561095093
4,4,9.55524942131
4,5,10.1568536758
4,6,12.228387852
4,7,11.5791321656
4,8,11.7533284238
4,9,12.1671944367
4,10,11.9774606187
4,11,11.1757883089
4,12,10.8154382649
4,13,10.6516431407
4,14,10.6507609706
4,15,10.63363845
4,16,10.5940838796
4,17,11.1905484447
4,18,11.2979969462
4,19,11.7487336817
4,20,12.1312506344
4,21,12.2848389819
4,22,12.3898137321
4,23,12.3894462438
4,24,12.2800978526
5,1,11.9519616517
5,2,11.4244164174
5,3,10.6908783701
5,4,9.85776550018
5,5,10.105023478
5,6,11.8802860246
5,7,11.6321403632
5,8,11.6226823055
5,9,12.0047658548
5,10,11.6884765752
5,11,10.8459030127
5,12,10.4827006747
5,13,10.4417671734
5,14,10.3402864675
5,15,10.2527733388
5,16,10.2273021209
5,17,10.7787051705
5,18,10.902971007
5,19,11.3181411086
5,20,11.4591836245
5,21,11.504998022
5,22,11.2687210305
5,23,11.0957997082
5,24,11.1461893515
6,1,11.1525223322
6,2,11.2016524782
6,3,11.0520826474
6,4,10.6021649977
6,5,9.44500672799
6,6,9.82199894942
6,7,10.3630192596
6,8,10.4598944403
6,9,10.3290459528
6,10,9.9161871827
6,11,9.67655687131
6,12,9.62112462117
6,13,9.62473330061
6,14,9.37798454591
6,15,9.31260216081
6,16,9.29787801073
6,17,9.3455103677
6,18,9.39366595785
6,19,9.62062021603
6,20,9.83064632182
6,21,10.4761832058
6,22,10.3091259407
6,23,10.3718938588
6,24,10.508550616
7,1,10.7295218206
7,2,10.9657255433
7,3,11.0202743208
7,4,10.6171188855
7,5,9.30397654214
7,6,9.03857366158
7,7,9.64488073747
7,8,9.75234969532
7,9,9.85022685884
7,10,9.58580663693
7,11,9.61845256365
7,12,9.84880060655
7,13,9.98936377957
7,14,9.93974770508
7,15,9.82342334641
7,16,10.0658851314
7,17,10.3576517689
7,18,10.3381165876
7,19,10.4889835926
7,20,10.6288679772
7,21,11.0117967592
7,22,11.1536938822
7,23,11.2538731199
7,24,11.0111938723
